Amortized,X,TSE,TWSE
Mean,['Pitcher.'],0.9679717236234512,0.9837351746293855
Mean,['sigma2_1'],0.968739148468821,0.9841353561047397
Mean,['None'],0.9651230838720202,0.982389435141455
Mean,"['Pitcher., sigma2_1']",0.9671355537561418,0.9824944983529424
Variance,['Pitcher.'],0.3970881001673208,0.5253790326408201
Variance,['sigma2_1'],0.4437997738400676,0.592002466970672
Variance,['None'],0.44225438975210707,0.5872687066530884
Variance,"['Pitcher., sigma2_1']",0.4090058563340208,0.5357246330266537
Both,['Pitcher.'],0.3142694379759574,0.48346543552165555
Both,['sigma2_1'],0.4624345441128807,0.5697287303764677
Both,['None'],0.5142355841348167,0.6228791256705148
Both,"['Pitcher., sigma2_1']",0.24970451777080374,0.399527379556086
